"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\(home)\components\HomeFirstSection.jsx", "JavaScript JSX", 444, 0, 0, 12, 24, 480
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\(home)\page.jsx", "JavaScript JSX", 9, 0, 0, 1, 2, 12
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\aboutus\page.jsx", "JavaScript JSX", 50, 0, 0, 0, 5, 55
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\components\AuthCheckCS.jsx", "JavaScript JSX", 29, 0, 0, 0, 8, 37
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\components\footer\Footer.jsx", "JavaScript JSX", 30, 0, 0, 1, 2, 33
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\components\footer\footerList.jsx", "JavaScript JSX", 32, 0, 0, 0, 2, 34
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\components\footer\leftFooter.jsx", "JavaScript JSX", 45, 0, 0, 0, 2, 47
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\components\footer\socialLinks.jsx", "JavaScript JSX", 26, 0, 0, 0, 4, 30
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\components\header\CollapseCS.jsx", "JavaScript JSX", 51, 0, 0, 2, 7, 60
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\components\header\Header.jsx", "JavaScript JSX", 38, 0, 0, 6, 3, 47
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\components\header\NavListCS.jsx", "JavaScript JSX", 52, 0, 0, 0, 4, 56
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\components\header\Search.jsx", "JavaScript JSX", 29, 0, 0, 0, 4, 33
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\components\header\UserLogMenuCS.jsx", "JavaScript JSX", 157, 0, 0, 3, 14, 174
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\components\header\logonameani.jsx", "JavaScript JSX", 18, 0, 0, 0, 3, 21
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\components\logo.jsx", "JavaScript JSX", 17, 0, 0, 0, 2, 19
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\contactus\components\LeftSec.jsx", "JavaScript JSX", 27, 0, 0, 0, 3, 30
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\contactus\components\RightSec.jsx", "JavaScript JSX", 61, 0, 0, 0, 7, 68
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\contactus\page.jsx", "JavaScript JSX", 11, 0, 0, 0, 2, 13
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\coursecontent\[id]\components\CourseContent.jsx", "JavaScript JSX", 363, 0, 0, 19, 29, 411
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\coursecontent\[id]\components\CourseMainContent.jsx", "JavaScript JSX", 582, 0, 0, 8, 36, 626
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\coursecontent\[id]\components\CourseSidebar.jsx", "JavaScript JSX", 202, 0, 0, 0, 8, 210
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\coursecontent\[id]\components\TestResults.jsx", "JavaScript JSX", 154, 0, 0, 8, 8, 170
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\coursecontent\[id]\page.jsx", "JavaScript JSX", 4, 0, 0, 0, 2, 6
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\coursedetail\[id]\component\CommentsSection.jsx", "JavaScript JSX", 336, 0, 0, 0, 28, 364
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\coursedetail\[id]\component\CourseContent.jsx", "JavaScript JSX", 79, 0, 0, 0, 4, 83
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\coursedetail\[id]\component\CourseDetailsPage.jsx", "JavaScript JSX", 238, 0, 0, 2, 26, 266
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\coursedetail\[id]\component\RightSidebar.jsx", "JavaScript JSX", 104, 0, 0, 0, 6, 110
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\coursedetail\[id]\component\StarRating.jsx", "JavaScript JSX", 23, 0, 0, 0, 2, 25
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\coursedetail\[id]\page.jsx", "JavaScript JSX", 11, 0, 0, 0, 2, 13
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\courses\components\6-sixth-sec\MostViewing.jsx", "JavaScript JSX", 97, 0, 0, 0, 6, 103
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\courses\components\CourseCard.jsx", "JavaScript JSX", 52, 0, 0, 6, 11, 69
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\courses\components\PaginationControls.jsx", "JavaScript JSX", 44, 0, 0, 0, 5, 49
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\courses\components\searchPage.jsx", "JavaScript JSX", 340, 0, 0, 3, 27, 370
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\courses\page.jsx", "JavaScript JSX", 12, 0, 0, 6, 4, 22
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\global.css", "CSS", 0, 28, 0, 2, 3, 33
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\layout.jsx", "JavaScript JSX", 19, 0, 0, 1, 5, 25
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\profile\StudentDash.jsx", "JavaScript JSX", 162, 0, 0, 4, 11, 177
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\profile\page.jsx", "JavaScript JSX", 10, 0, 0, 0, 3, 13
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\profilesetting\page.jsx", "JavaScript JSX", 10, 0, 0, 0, 2, 12
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\profilesetting\profilesetting.jsx", "JavaScript JSX", 95, 0, 0, 13, 10, 118
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\TokenRefreshHandler.js", "JavaScript", 0, 0, 15, 1, 6, 22
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\CurriculumTab.jsx", "JavaScript JSX", 257, 0, 0, 0, 21, 278
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\DraggableSection.jsx", "JavaScript JSX", 277, 0, 0, 4, 16, 297
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\Header.jsx", "JavaScript JSX", 14, 0, 0, 1, 1, 16
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\LectureModal.jsx", "JavaScript JSX", 247, 0, 0, 1, 16, 264
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\SidebarNavigation.jsx", "JavaScript JSX", 68, 0, 0, 13, 6, 87
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\analytics.jsx", "JavaScript JSX", 179, 0, 0, 4, 9, 192
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\courseInfo.jsx", "JavaScript JSX", 216, 0, 0, 7, 22, 245
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\index.jsx", "JavaScript JSX", 55, 0, 0, 0, 8, 63
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\studentreq\Studentreq.jsx", "JavaScript JSX", 285, 0, 0, 0, 24, 309
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\ui\ConfirmationModal.jsx", "JavaScript JSX", 32, 0, 0, 0, 2, 34
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\ui\DeleteLessonButton.jsx", "JavaScript JSX", 73, 0, 0, 0, 9, 82
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\ui\PaginationControls.jsx", "JavaScript JSX", 44, 0, 0, 0, 5, 49
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\ui\TestSectionForm.jsx", "JavaScript JSX", 195, 0, 0, 0, 11, 206
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\context\ToastContext.jsx", "JavaScript JSX", 33, 0, 0, 0, 7, 40
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\page.jsx", "JavaScript JSX", 4, 0, 0, 1, 2, 7
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\components\Instructor-dash\Courses.jsx", "JavaScript JSX", 194, 0, 0, 0, 20, 214
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\components\Instructor-dash\InstructorDash.jsx", "JavaScript JSX", 125, 0, 0, 7, 11, 143
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\components\Instructor-dash\PaginationControls.jsx", "JavaScript JSX", 44, 0, 0, 0, 5, 49
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\components\Instructor-dash\components\CourseModal.jsx", "JavaScript JSX", 247, 0, 0, 8, 24, 279
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\components\admin-dashboard\AdminControl.jsx", "JavaScript JSX", 352, 0, 0, 6, 24, 382
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\components\admin-dashboard\InstructorRequests.jsx", "JavaScript JSX", 243, 0, 0, 0, 13, 256
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\components\admin-dashboard\admindashboard.jsx", "JavaScript JSX", 161, 0, 0, 7, 13, 181
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\components\admin-dashboard\status.jsx", "JavaScript JSX", 142, 0, 0, 3, 9, 154
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\components\seperation.jsx", "JavaScript JSX", 63, 0, 0, 4, 7, 74
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\page.jsx", "JavaScript JSX", 12, 0, 0, 0, 3, 15
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\global.css", "CSS", 0, 10, 0, 2, 1, 13
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\layout.jsx", "JavaScript JSX", 23, 0, 0, 0, 2, 25
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\teacher\components\teatchersignup.jsx", "JavaScript JSX", 367, 0, 0, 15, 31, 413
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\teacher\page.jsx", "JavaScript JSX", 10, 0, 0, 0, 3, 13
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\forgotpassword\components\ForgotPassword.jsx", "JavaScript JSX", 68, 0, 0, 2, 9, 79
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\forgotpassword\page.jsx", "JavaScript JSX", 11, 0, 0, 0, 3, 14
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\global.css", "CSS", 0, 10, 0, 1, 1, 12
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\layout.jsx", "JavaScript JSX", 66, 0, 0, 2, 4, 72
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\user\Dropdown.jsx", "JavaScript JSX", 24, 0, 0, 0, 3, 27
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\user\layout.jsx", "JavaScript JSX", 32, 0, 0, 2, 3, 37
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\user\login\components\LoginForm.jsx", "JavaScript JSX", 123, 0, 0, 0, 14, 137
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\user\login\page.jsx", "JavaScript JSX", 9, 0, 0, 1, 4, 14
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\user\signup\components\SignupForm.jsx", "JavaScript JSX", 271, 0, 0, 10, 33, 314
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\user\signup\page.jsx", "JavaScript JSX", 8, 0, 0, 2, 3, 13
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\user\switch.jsx", "JavaScript JSX", 33, 0, 0, 3, 7, 43
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\StoreProvider.jsx", "JavaScript JSX", 15, 0, 0, 1, 5, 21
"Total", "-", 8685, 48, 15, 205, 756, 9709